eventid	version	event lat	event lon	depth	mag	time	latu	lonu	depu	magu	timeu	lk	nTb	nSb	nT	nS	ave	rms	fitOK	splitOK	near	statrig	active	inact	nsta	percent	prcntOK	mindist	maxdist	distOK	azspan	MOK	nSOK	LOK	Tdif	tpave	pdave	TF	TOK	AZOK	AOK	Ast	alert_time
52918	0	37.3267	-121.6686	8.0	4.78	2022-10-25T18:42:03.09	0.1283	0.1283	5.0	0.4	2.52	0.91	5	4	5	4	0.0621	0.0048	1	1	7	4	7	1	8	57.14	1	2.83	17.88	1	169.93	1	1	1	1.94	0.15	-1.37	0.0	1	1	1	1	2022-10-25T18:42:07.66
52918	1	37.3088	-121.6686	8.0	5.04	2022-10-25T18:42:03.05	0.0656	0.0656	5.0	0.3	0.84	0.97	5	4	9	8	0.063	0.0077	1	1	11	8	11	1	12	72.73	1	4.31	18.79	1	264.85	1	1	1	2.13	0.09	-1.34	0.0	1	1	1	0	2022-10-25T18:42:07.72
52918	2	37.3088	-121.6686	8.0	5.07	2022-10-25T18:42:03.09	0.0604	0.0604	5.0	0.3	0.74	0.98	5	4	10	9	0.1047	0.0179	1	1	11	9	11	1	12	81.82	1	4.31	18.79	1	264.85	1	1	1	2.13	0.09	-1.34	0.0	1	1	1	0	2022-10-25T18:42:07.77
52918	3	37.3088	-121.6686	8.0	5.14	2022-10-25T18:42:03.09	0.0512	0.0512	5.0	0.2	0.58	1.0	5	4	13	12	0.1017	0.0166	1	1	16	12	16	2	18	75.0	1	4.31	27.03	1	275.86	1	1	1	2.05	0.12	-1.34	0.0	1	1	1	1	2022-10-25T18:42:08.74
52918	4	37.3088	-121.6686	8.0	5.17	2022-10-25T18:42:03.09	0.0512	0.0512	5.0	0.2	0.58	1.0	5	4	13	12	0.1017	0.0166	1	1	16	12	16	2	0	75.0	1	4.31	27.03	1	275.86	1	1	1	2.11	0.11	-1.32	0.0	1	1	1	0	2022-10-25T18:42:09.66
52918	5	37.3088	-121.6686	8.0	5.23	2022-10-25T18:42:03.09	0.0465	0.0465	5.0	0.2	0.52	1.0	5	4	20	19	0.1017	0.0166	1	1	23	19	23	2	25	82.61	1	4.31	31.67	1	287.14	1	1	1	2.09	0.11	-1.33	0.0	1	1	1	0	2022-10-25T18:42:09.66
52918	6	37.3088	-121.6686	8.0	5.24	2022-10-25T18:42:03.09	0.0465	0.0465	5.0	0.2	0.52	1.0	5	4	20	19	0.1017	0.0166	1	1	23	19	23	2	0	82.61	1	4.31	31.67	1	287.14	1	1	1	2.09	0.11	-1.33	0.0	1	1	1	1	2022-10-25T18:42:10.59
52918	7	37.3088	-121.6686	8.0	5.25	2022-10-25T18:42:03.09	0.0465	0.0465	5.0	0.2	0.52	1.0	5	4	27	26	0.1017	0.0166	1	1	32	26	32	3	35	81.25	1	4.31	37.21	1	297.92	1	1	1	2.14	0.05	-1.44	0.0	1	1	1	0	2022-10-25T18:42:10.59
52918	8	37.3088	-121.6686	8.0	5.21	2022-10-25T18:42:03.09	0.0465	0.0465	5.0	0.2	0.52	1.0	5	4	37	36	0.1017	0.0166	1	1	50	36	50	3	53	72.0	1	4.31	45.35	1	319.74	1	1	1	2.09	0.05	-1.49	0.0	1	1	1	1	2022-10-25T18:42:11.61
52918	9	37.3088	-121.6686	8.0	5.17	2022-10-25T18:42:03.09	0.0465	0.0465	5.0	0.2	0.52	1.0	5	4	46	44	0.1017	0.0166	1	1	64	44	64	3	67	68.75	1	4.31	51.6	1	319.74	1	1	1	1.97	0.06	-1.58	0.0	1	1	1	0	2022-10-25T18:42:12.58
